league,year,injury_type,injury_category,games_missed
NFL,2009.0,ankle,Lower Body,0.0
NFL,2009.0,ankle knee,Lower Body,2.0
NFL,2009.0,triceps,Upper Body,16.0
NFL,2009.0,achilles,Lower Body,16.0
NFL,2009.0,leg tooth jaw ankle knee,Head,1.0
NFL,2009.0,foot neck,Lower Body,0.0
NFL,2009.0,groin,Lower Body,9.0
NFL,2009.0,ankle shoulder,Lower Body,2.0
NFL,2009.0,finger,Upper Body,0.0
NFL,2009.0,knee thigh ear concussion,Head,4.0
NFL,2009.0,knee toes groin,Lower Body,2.0
NFL,2009.0,illness neck,Illness,0.0
NFL,2009.0,knee foot,Lower Body,2.0
NFL,2009.0,knee,Lower Body,0.0
NFL,2009.0,knee,Lower Body,0.0
NFL,2009.0,shoulder,Upper Body,0.0
NFL,2009.0,neck ankle toe,Lower Body,3.0
NFL,2009.0,ribs ankle knee,Lower Body,2.0
NFL,2009.0,knee,Lower Body,1.0
NFL,2009.0,knee hand,Lower Body,2.0
NFL,2009.0,shoulder,Upper Body,12.0
NFL,2009.0,knee back,Lower Body,4.0
NFL,2009.0,leg knee shoulder,Lower Body,7.0
NFL,2009.0,head,Head,0.0
NFL,2009.0,hip,Lower Body,1.0
NFL,2009.0,concussion,Head,1.0
NFL,2009.0,hand groin,Lower Body,0.0
NFL,2009.0,quadriceps hamstring,Lower Body,4.0
NFL,2009.0,ankle,Lower Body,7.0
NFL,2009.0,foot neck,Lower Body,0.0
NFL,2009.0,hamstring knee,Lower Body,5.0
NFL,2009.0,knee,Lower Body,0.0
NFL,2009.0,undisclosed,Unknown,16.0
NFL,2009.0,hamstring knee,Lower Body,8.0
NFL,2009.0,shoulder hamstring,Lower Body,5.0
NFL,2009.0,shoulder hip knee,Lower Body,3.0
NFL,2009.0,illness,Illness,0.0
NFL,2009.0,knee,Lower Body,16.0
NFL,2009.0,knee shoulder,Lower Body,6.0
NFL,2009.0,knee ankle,Lower Body,5.0
NFL,2009.0,hamstring toe,Lower Body,6.0
NFL,2009.0,hip,Lower Body,2.0
NFL,2009.0,knee,Lower Body,7.0
NFL,2009.0,ankle,Lower Body,1.0
NFL,2009.0,concussion ankle,Head,3.0
NFL,2009.0,knee illness,Illness,0.0
NFL,2009.0,knee,Lower Body,3.0
NFL,2009.0,ankle,Lower Body,0.0
NFL,2009.0,quadriceps knee,Lower Body,13.0
NFL,2009.0,ankle,Lower Body,0.0
NFL,2009.0,neck hand back,Upper Body,4.0
NFL,2009.0,ankle hamstring knee,Lower Body,4.0
NFL,2009.0,foot knee,Lower Body,0.0
NFL,2009.0,chest ankle calf,Lower Body,0.0
NFL,2009.0,abdomen,Upper Body,0.0
NFL,2009.0,ankle,Lower Body,0.0
NFL,2009.0,neck,Upper Body,0.0
NFL,2009.0,knee,Lower Body,3.0
NFL,2009.0,shoulder,Upper Body,0.0
NFL,2009.0,knee,Lower Body,2.0
NFL,2009.0,leg,Lower Body,16.0
NFL,2009.0,neck shoulder,Upper Body,0.0
NFL,2009.0,groin,Lower Body,2.0
NFL,2009.0,shoulder concussion calf elbow,Head,5.0
NFL,2009.0,back,Upper Body,16.0
NFL,2009.0,knee,Lower Body,6.0
NFL,2009.0,ankle,Lower Body,4.0
NFL,2009.0,groin ankle hamstring quadricep,Lower Body,0.0
NFL,2009.0,wrist hip,Lower Body,0.0
NFL,2009.0,ankle,Lower Body,0.0
NFL,2009.0,abdomen back knee foot,Lower Body,0.0
NFL,2009.0,concussion,Head,0.0
NFL,2009.0,hand concussion knee,Head,7.0
NFL,2009.0,hand,Upper Body,0.0
NFL,2009.0,oblique concussion,Head,0.0
NFL,2009.0,knee,Lower Body,16.0
NFL,2009.0,hamstring concussion ankle,Head,2.0
NFL,2009.0,jaw,Head,0.0
NFL,2009.0,ankle,Lower Body,1.0
NFL,2009.0,knee,Lower Body,3.0
NFL,2009.0,knee,Lower Body,14.0
NFL,2009.0,hip hamstring,Lower Body,3.0
NFL,2009.0,illness quadricep quadriceps,Illness,1.0
NFL,2009.0,ankle,Lower Body,2.0
NFL,2009.0,foot feet ribs,Lower Body,0.0
NFL,2009.0,hamstring,Lower Body,0.0
NFL,2009.0,hand back,Upper Body,0.0
NFL,2009.0,back,Upper Body,11.0
NFL,2009.0,knee,Lower Body,10.0
NFL,2009.0,knee,Lower Body,4.0
NFL,2009.0,knee neck,Lower Body,8.0
NFL,2009.0,hip,Lower Body,1.0
NFL,2009.0,hamstring concussion,Head,0.0
NFL,2009.0,foot hip shoulder,Lower Body,0.0
NFL,2009.0,knee,Lower Body,12.0
NFL,2009.0,hamstring,Lower Body,2.0
NFL,2009.0,ankle,Lower Body,0.0
NFL,2009.0,back head,Head,0.0
NFL,2009.0,ankle hamstring,Lower Body,3.0
NFL,2009.0,shoulder,Upper Body,0.0
NFL,2009.0,shoulder foot,Lower Body,11.0
NFL,2009.0,shin,Lower Body,1.0
NFL,2009.0,illness knee foot,Illness,0.0
NFL,2009.0,ankle,Lower Body,0.0
NFL,2009.0,ribs hamstring,Lower Body,1.0
NFL,2009.0,groin,Lower Body,0.0
NFL,2009.0,illness,Illness,1.0
NFL,2009.0,knee,Lower Body,12.0
NFL,2009.0,knee illness,Illness,1.0
NFL,2009.0,knee illness back,Illness,2.0
NFL,2009.0,shoulder illness foot foot ribs finger,Illness,0.0
NFL,2009.0,knee,Lower Body,8.0
NFL,2009.0,concussion calf finger,Head,2.0
NFL,2009.0,knee illness,Illness,0.0
NFL,2009.0,hip ankle shoulder,Lower Body,0.0
NFL,2009.0,knee,Lower Body,4.0
NFL,2009.0,knee ribs,Lower Body,0.0
NFL,2009.0,illness,Illness,1.0
NFL,2009.0,illness knee,Illness,5.0
NFL,2009.0,chest ankle,Lower Body,0.0
NFL,2009.0,shoulder,Upper Body,12.0
NFL,2009.0,calf disciplinary shoulder,Lower Body,2.0
NFL,2009.0,knee illness,Illness,0.0
NFL,2009.0,knee,Lower Body,2.0
NFL,2009.0,toe,Lower Body,0.0
